relation_set_id,source_id,source_location,source_group,relation_role,source_form_pdlma_raw,source_gloss_en,source_verb_class,source_valence,source_acceptability_or_variation_note,relation_basis,ap_surface_assertion,dictionaria_entry_resolution_status
PB15-V1-ADE,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 5, pp. 99-100",V1,LESS_ACTIVE,-y-adè,to become perforated,A,1,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V1-ADE,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 5, pp. 99-100",V1,BASIC,-adè,to be perforated,C,1,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V1-ADE,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 5, pp. 99-100",V1,MORE_ACTIVE,-g-iidè,to perforate,D,2,"Source explicitly says V1 -g- is not to be treated as causative here",SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V1-ACHE,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 5, pp. 99-100",V1,LESS_ACTIVE,-y-achè,to be broken,A,1,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V1-ACHE,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 5, pp. 99-100",V1,BASIC,-achè,to break,C,1,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V1-ACHE,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 5, pp. 99-100",V1,MORE_ACTIVE,-g-ichè,to break,D,2,"Source explicitly says V1 -g- is not to be treated as causative here",SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V2-AANA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",V2,LESS_ACTIVE,-y-aana,(for a field) to be prepared for plowing,A,1,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V2-AANA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",V2,BASIC,-aana,to prepare a field for plowing,B,2,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V2-AANA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",V2,CAUSATIVE,-u-g-aana,to plow,A,,"Documented speaker disagreement is preserved in source table",SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V2-APA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",V2,LESS_ACTIVE,-y-aapa,to be cared for,A,1,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V2-APA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",V2,BASIC,-apa,to care for,C,2,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V2-APA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",V2,CAUSATIVE,-u-zu-g-apa,to have someone care for something,A,,VARIANT_CAUSATIVE,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V2-APA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",V2,CAUSATIVE,-u-si-g-apa,to have someone care for something,A,,VARIANT_CAUSATIVE,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V2-APA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",V2,CAUSATIVE,-u-su-g-apa,to have someone care for something,A,,VARIANT_CAUSATIVE,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V2-UNA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",V2,LESS_ACTIVE,-y-una,"to be obeyed, to be listened",A,1,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V2-UNA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",V2,BASIC,-una,"to obey, to listen",A,2,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V2-UNA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",V2,CAUSATIVE,-u-g-una,to make someone listen,A,,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V2-UUNDA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",V2,LESS_ACTIVE,-y-uunda,to be read,A,1,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V2-UUNDA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",V2,BASIC,-uunda,"to read, to learn, to sing",A,2,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V2-UUNDA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",V2,CAUSATIVE,-u-si-g-uunda,"to make someone read, learn or sing",A,,VARIANT_CAUSATIVE,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V2-UUNDA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",V2,CAUSATIVE,-u-su-g-uunda,"to make someone read, learn or sing",A,,VARIANT_CAUSATIVE,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V3-ADXE,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 7, pp. 102-103",V3,BASIC,-adxe,to get wet,C,,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V3-ADXE,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 7, pp. 102-103",V3,CAUSATIVE,-u-g-adxe,to wet someone,A,,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V3-ATI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 7 and Table 18",V3,BASIC,-ati,to die,,,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V3-ATI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 7 and Table 18",V3,CAUSATIVE,-u-utì,to kill,A,,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V3-O,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 7, pp. 102-103",V3,BASIC,-o,to eat,D,,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V3-O,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 7, pp. 102-103",V3,CAUSATIVE,-u-g-o,to feed,A,,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V3-UNI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 7, pp. 102-103",V3,BASIC,-uni,to make,A,,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-V3-UNI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 7, pp. 102-103",V3,CAUSATIVE,-u-si-g-uni,to make someone make something,A,,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-C1-REZA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 9, p. 105",C1,BASIC,-reza,to split open (intr),B,1,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-C1-REZA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 9, p. 105",C1,CAUSATIVE,-cheza,to split something open,B,2,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-C1-RUKU,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 9, p. 105",C1,BASIC,-ruku,to be shortened,A,1,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-C1-RUKU,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 9, p. 105",C1,CAUSATIVE,-chuku,to shorten,A,2,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-C1-LADI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 9, p. 105",C1,BASIC,-ladí’,to become detached,B,1,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-C1-LADI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 9, p. 105",C1,CAUSATIVE,-ndadí’,to detach,B,2,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-C1-LAA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 9, p. 105",C1,BASIC,-laà,to break,B,1,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-C1-LAA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 9, p. 105",C1,CAUSATIVE,-ndaà,to break,B,2,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-C2-CHUKU,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 10, p. 106",C2,BASIC,-chuku,to become short,A,1,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-C2-CHUKU,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 10, p. 106",C2,CAUSATIVE,-u-chuku,to shorten,A,2,"Alternative longer causatives and speaker disagreement also documented",SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-C2-KICHI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 10, p. 106",C2,BASIC,-kichi,to become white,A,1,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-C2-KICHI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 10, p. 106",C2,CAUSATIVE,-u-kichi,to whiten,A,2,"Longer causative variants also documented",SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-C2-TUBI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 10, p. 106",C2,BASIC,-tubì,to roll,A,1,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-C2-TUBI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 10, p. 106",C2,CAUSATIVE,-u-tubì,to roll,A,2,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-C3-BANI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 11, p. 107",C3,BASIC,-bani,to wake up,A,1,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-C3-BANI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 11, p. 107",C3,CAUSATIVE,-u-kwaani,to wake someone up,A,,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-C3-DIDI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 11, p. 107",C3,BASIC,-di’di,to pass,C,1,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-C3-DIDI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 11, p. 107",C3,CAUSATIVE,-u-tiidi,to pass,A,,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-C3-LATE,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 11 and §5.5",C3,BASIC,-late,to empty,A~B,1,"Source treats B status as variable/questioned in summary",SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-C3-LATE,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 11 and §5.5",C3,CAUSATIVE,-u-ndaate,to empty,A,,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-C4-BABA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 12, p. 108",C4,BASIC,-baba,to itch,A,1,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-C4-BABA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 12, p. 108",C4,CAUSATIVE,-u-si-baba,to make someone itch,A,,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-C4-NDANI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 12, p. 108",C4,BASIC,-ndani,to be born,B,1,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-C4-NDANI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 12, p. 108",C4,CAUSATIVE,-u-si-ndani,to make someone/something be born,A,,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-EXC-LAA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 14, p. 110",CROSS_GROUP_EXCEPTION,BASIC,-laa,to loosen,A,1,"Distinct from Table 9 tonal/form entry -laà in source transcription; do not collapse",SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-EXC-LAA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 14, p. 110",CROSS_GROUP_EXCEPTION,G_DERIVED_STEM,-ndaà,to break,B,2,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-EXC-LAA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 14, p. 110",CROSS_GROUP_EXCEPTION,CAUSATIVE,-u-ndaa,to loosen,,,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-EXC-RUKU,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 14, p. 110",CROSS_GROUP_EXCEPTION,BASIC,-ruku,to shorten,A,1,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-EXC-RUKU,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 14, p. 110",CROSS_GROUP_EXCEPTION,G_DERIVED_STEM,-chuku,to shorten,A,1,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-EXC-RUKU,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 14, p. 110",CROSS_GROUP_EXCEPTION,CAUSATIVE,-u-chuku,to shorten,A,,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
PB15-EQ-IIBA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 15, p. 110",EQUIPOLLENT,LESS_ACTIVE,-d-iiba,to be sewn,A,1,,SOURCE_TABLE_MEMBER,false,NOT_ATTEMPTED
