entry_id,headword,pdlma,attribution_entry,analysis_codes_raw,verb_class,irregular,sense_id,definition_en,definition_es,semantic_domain,etymology,attribution_sense,habitual,potential,completive,progressive,perfect,future,counterfactual,andative,documented_tam_count,example_count,example_1,example_1_es,example_2,example_2_es
ywa7,rua'  ~ riua',-(y.)wa7,JLC;ND;RGL;RLC;VP,vA~B:t,A~B,NO,392,To carry.,Cargar.,actions,,,r.wa7; ~ r.ywa7,g.wa*7,gu-ywa7; ~ b.ywa7,,,,n.wa*7,,4,5,Ndaani' chál stì' nuánì.,Lo lleva cargado en su rebozo.,Ndaani' dxùmì nuábeni.,Lo trae cargado en una canasta.
a,ra,-a,EJG;RLC;VP,vA:i,A,NO,393,For fruit to ripen.,Madurarse un fruta.,actions,,,r.a,g.a*,bi.ya,ka-y.a,,z.a,,,5,3,Cayá màngu.,Está madurando el mango.,Gàni.,Que se madure.
a7de,ra'de',-a7de,EJG;JLC;ND;VP,vC:t,C,NO,394,To be gifted something.,"Regalarse, obsequiarse.",actions,,,r.a7de,g.a!7de; () ~ g.ade!7 (I),gu.7de,ka-y.a!7de,,z.a7de,,,5,6,Cayá'de'.,Está recibiendo regalos.,Cayá'de'beni.,Lo está recibiendo de regalo.
a7ga,ra'ga',-a7ga,EJG;JLC;ND;VP,vC:i,C,NO,395,To get stuck.,"Atorarse, atascarse.",change of state,,,r.a7ga,g.aga!7 (I),gu.7ga,ka-y.a!7ga,,,ny.a!7ga,,5,6,Gu'ga' gueta yanné'.,Se me atoró la tortilla en el pescuezo.,Gu'ga'ni yannibe.,Se le le atoró en la garganta.
a7gi,ra'gui',-a7gi,EJG;JLC;ND;RGL;VP,vC:i,C,NO,396,"To be cooked, including various cooking techniques such as broiling, browning and frying.","Cocerse, incluyendo varias técnicas de cocción como por ejemplo, asarse, dorarse y freírse.",food,,,r.a7gi,g.agi!7 (I),gu.7gi,ka-y.a!7gi,,z.a7gi,,,5,3,Gaguí'ni.,Que se cueza.,Gu'gui' lu gui.,Asado en la brasa.
a7sa1,ra'sa',-a7sa,EJG;JLC;ND;RGL;RLC;VP,vC:t,C,NO,397,To chew.,"Mascar, masticar.",actions,,,r.a7sa,g.asa!7,gu.7sa,,,,ny.a!7sa,,4,6,Món nábé ra'sa' yaalà'.,Mon mastica mucho chicle.,Ra'sa'beni.,Lo mastica.
a7sa2,ra'sa',-a7sa,EJG;JLC;ND;RLC,vC:i,C,NO,398,"To be stuck, to be jammed, to be wedged in.","Atorarse, encajarse.",states,,,r.a7sa,g.asa!7,gu.7sa,,,,,,3,5,Gu'sa' bòla ladè yaga.,Se atoró la pelota entre las ramas del árbol.,Má gu'sa'be ladè yaga.,Se atoró entre los palos.
a7ta,ra'ta',-a7ta,EJG;JLC;ND;RGL;RLC;VP,vC:i,C,NO,399,To lie down in order to fall asleep.,Acostarse para dormir.,actions,,,r.a7ta,g.ata!7,gu.7ta,ka-y.a!7ta,,z.a7ta,ny.a!7ta,ri! g.ata!7 ~ re! g.ata!7,7,6,Chígatá'be.,Que se vaya a acostar.,Má gu'ta' Mariá.,María ya se acostó (para dormir).
a7taninyu,ra'ta' nìñu,-a7ta ni*nyu,EJG;RLC,vC:i,C,NO,400,To lay down Baby Jesus in a Nativity scene.,Acostar al Niño Jesús en el pesebre de Navidad.,cultural practices,,,r.a7ta ni*nyu,g.ata!7 ni*nyu,gu.7ta ni*nyu,ka-y.a!7ta ni*nyu,,,,,4,2,Má gu'ta' nìñucabe cue' yoo.,Ya acostaron al Niño Jesús en el rinconcito de la casa.,Má' gu'ta' xhnìñucabe cue' yoo.,Ya acostaron al Niño Jesús en el rinconcito de la casa.
a7tabidxichi,ra'ta'bidxichi,-a7ta=bi-dxichi,EJG;ND;RLC,vC:i,C,NO,401,To contribute funds (lit. for money to lie down).,Cooperar con dinero (lit. acostarse el dinero).,actions,,,,g.ata!7=bi-dxichi;  r.a7ta=bi-dxichi;  gu.7ta=bi-dxichi,,ka-y.a!7ta=bi-dxichi,,,,,2,1,Cayá'ta'bidxichi lu mexá'.,Se está poniendo el dinero sobre la mesa (ej. para cooperar para una boda).,,
