case_id,source_file,take,start_s,end_s,duration_s,sample_rate,channels,source_subtype
FB-019,AUD019-VG.aif,1,3.0,4.28,1.28,48000,2,PCM_24
FB-019,AUD019-VG.aif,2,6.05,7.22,1.17,48000,2,PCM_24
FB-062,AUD062-VG.aif,1,3.45,4.82,1.37,48000,2,PCM_24
FB-062,AUD062-VG.aif,2,7.05,8.45,1.4,48000,2,PCM_24
FB-076,AUD076-VG.aif,1,5.55,8.45,2.9,48000,2,PCM_24
FB-076,AUD076-VG.aif,2,12.05,14.62,2.57,48000,2,PCM_24
FB-079,AUD079-VG.aif,1,2.95,4.18,1.23,48000,2,PCM_24
FB-079,AUD079-VG.aif,2,6.22,7.36,1.14,48000,2,PCM_24
FB-099,AUD099-VG.aif,1,2.95,3.92,0.97,48000,2,PCM_24
FB-099,AUD099-VG.aif,2,5.92,6.82,0.9,48000,2,PCM_24
