ID,Language_ID,Headword,Part_Of_Speech,Attribution,Additional_Information,PDLMA
b,jzd,b́ˤ,smb,RGL;RLC,,!b:
bh,jzd,b̤́ˤ,smb,RGL;RLC,,!b: H
p,jzd,ṕˤ,smb,RGL;RLC,,!p:
rrunrrun,jzd,ŕrun rruń,smb,EJG;RLC,,!rrun rrun!
dingdingding,jzd,̃díng ̃díng ̃díng,smb,RLC,,&di!ng &di!ng &di!ng
gucha7chigiu,jzd,((g)(u)chachí') guíu,s,EJG;JLC;VP,,((g)(u)-cha7chí') gi!u
guchachi7orkidi,jzd,((g)(u)chachí') orquìdi,s,JLC,,((g)(u)-chachi!7) orki*di
hbabababammm,jzd,(̤)ba ba ba ba mmm,smb,RGL,,(H)ba ba ba ba mmm
bendalutapa7,jzd,(benda lu) tapá',s,JLC,,(benda lu) tapa!7
berezhiga,jzd,(bere)xìga,s,EJG;JLC;ND;RLC;VC;VP,,(bere=)zhi*ga
bigosebuubu,jzd,(bigosè) buùbù',s,EJG;JLC;ND;VC;VP,,(bi-gose*) buu*bu*
dunabe,jzd,(dú) nabé,av,EJG;JLC;ND;RLC;VP,,(du!) na+ be!
genda,jzd,(gu)(e)nda,nmr,EJG;ND;VP,,(g)(e)nda+
gendabyaani,jzd,(gu)(e)ndabiaani',nom,EJG;JLC;ND;RGL;RLC;VP,,(g)(e)nda+ b.y.aani
gendabinnigwe7,jzd,(gu)(e)ndabinnigüé',nom,EJG;RGL;RLC,,(g)(e)nda+ binni=gwe!7
gendagorrda,jzd,(gu)(e)ndagòrrda,nom,RLC,,(g)(e)nda+ go*rrda
gendakeryabayu,jzd,(gu)(e)ndaquériabayu,nom,RGL,,(g)(e)nda+ ke!+ r.yaba=yu
gendananna,jzd,(gu)(e)ndanannà,nom,RLC,,(g)(e)nda+ n.anna*
gendanalase7,jzd,(gu)(e)ndanalasé',nom,RGL;RLC,,(g)(e)nda+ na-lase!7
gendanaro7,jzd,(gu)(e)ndanaró',nom,RLC,,(g)(e)nda+ na-ro!7
gendanaro7ba,jzd,(gu)(e)ndanaró'ba',nom,RGL;VC,,(g)(e)nda+ na-ro!7ba
gendanawiini,jzd,(gu)(e)ndanahuiini',nom,RGL;RLC,,(g)(e)nda+ na-wiini
gendanayaawi,jzd,(gu)(e)ndanayaàhuì',nom,RGL;RLC,,(g)(e)nda+ na-yaa*wi*
gendanazhii,jzd,(gu)(e)ndanaxiì,nom,RGL;RLC,,(g)(e)nda+ na-zhii*
gendaranna1,jzd,(gu)(e)ndarannà,nom,RGL;VC,,(g)(e)nda+ r.anna*
gendaranna2,jzd,(gu)(e)ndarannà,nom,RGL;VC,,(g)(e)nda+ r.anna*
gendarasi,jzd,(gu)(e)ndarasi,nom,RGL;RLC,,(g)(e)nda+ r.asi
gendare7,jzd,(gu)(e)ndare',nom,EJG;JLC;ND;RGL;RLC;VP,,(g)(e)nda+ r.e7
gendarusya,jzd,(gu)(e)ndarusià,nom,RGL,,(g)(e)nda+ r.u-s.ya*
gendarusyaatrompu,jzd,(gu)(e)ndarusiaà tròmpu,nom,RLC,,(g)(e)nda+ r.u-syaa* tro*mpu
gendaruxyazhi7,jzd,(gu)(e)ndaruxhiaxí',nom,RGL,,(g)(e)nda+ r.u-x.ya=zhi!7
gendaruniwantar,jzd,(gu)(e)ndaruni huantár,nom,RGL;RLC,,(g)(e)nda+ r.uni wan-ta!r
gendaruwi7diidxa,jzd,(gu)(e)ndaruhui' diidxa',nom,ND;RGL,,(g)(e)nda+ r.uwi7 diidxa
gendarikaabi,jzd,(gu)(e)ndaricaà bi,nom,RGL;VC,,(g)(e)nda+ ri-kaa* bi
gendarindaabiike,jzd,(gu)(e)ndarindaabi' ique,nom,RGL;VC,,(g)(e)nda+ ri-ndaabi ike
gendasikaru,jzd,(gu)(e)ndasica rù,nom,RGL,,(g)(e)nda+ sika ru*
gendaxxeela,jzd,(gu)(e)ndaxheela',nom,EJG;ND;RLC;VP,,(g)(e)nda+ x.xeela
guchachi7,jzd,(g)(u)chachí',s,EJG;JLC;ND;RLC;VP,,(g)(u)-chachi!7
guchachi7giinya,jzd,(g)(u)chachí' guiiña',s,JLC,,(g)(u)-chachi!7 giinya
guchachi7gixe,jzd,(g)(u)chachí' guixhe,s,EJG;JLC;ND;VP,,(g)(u)-chachi!7 gixe
gaba,jzd,(g)ábá,av,EJG;JLC;RLC;VC,,(g)a!-ba!
gabati7,jzd,(g)ábátí',av,EJG;JLC;ND;RLC;VC;VP,av:loc,(g)a!-ba! +ti!7
gadxagaya7,jzd,(g)adxagaya',s,EJG;JLC;ND;RGL;VC;VP,,(g)a-dxaga=ya7
ganiw,jzd,(g)aníu,s,JLC;RGL;VP,,(g)a-ni!w
ganiwdechonnaarrgoya,jzd,(g)aníu de chonnà arrgòya,s,RGL,,(g)a-ni!w  de chonna* arrgo*ya
ganiwdegye,jzd,(g)aníu de guie,s,RGL;RLC,,(g)a-ni!w de gye
ganiwdemanita,jzd,(g)aníu de manìta,s,JLC;RGL;RLC,,(g)a-ni!w de mani*ta
ganiwderekwerrdu,jzd,(g)aníu de recuèrrdu,s,RGL;RLC,,(g)a-ni!w de rekwe*rrdu
gayugu,jzd,ga yùgu,s,RGL,,(g)a-yu*gu
gadxipigadxi7,jzd,(g)adxì pi gadxi',clq,EJG;ND;RGL;VC,,(g)adxi* pi gadxi7
gamusa,jzd,(g)amùsa,s,JLC,,(g)amu*sa
gendachipi,jzd,(gu)endachìpi,nom,RGL,,(g)enda+ chi*pi
gendananda7,jzd,(gu)endanandá',nom,EJG;JLC;ND;VP,,(g)enda+ na-nda!7
gendanayaabi,jzd,(gu)endanayaabi',nom,VC,,(g)enda+ na-yaabi
gendarulaa,jzd,(gu)endarulaa,nom,RGL;RLC,,(g)enda+ r.u-laa
gendaruru,jzd,(gu)endaruru,nom,RGL;RLC,,(g)enda+ r.u-ru
gendasinberwensa,jzd,(gu)endasinberhuènsa,nom,RGL,,(g)enda+ sinberwe*nsa
gendawara,jzd,(gu)endahuara,nom,EJG;JLC;RGL;RLC;VP,,(g)enda+ wa-ra
giru7ti7,jzd,(gu)írútí',prn,JLC;RLC;VP,prn:rel,(g)i! +ru!7 +ti!7
gigudxa,jzd,(Gu)igudxa,s,JLC,,(g)i-gudxa
gizii,jzd,(gu)izii,s,EJG;JLC;RLC;VP,,(g)i-zii
gichalaga,jzd,(gu)icha laga,s,EJG;JLC;ND;RGL;RLC;VP,,(g)icha laga
gidxaga,jzd,(gu)idxaga,s,EJG;JLC;ND;RGL;RLC;VC;VP,,(g)idxa=ga
gintiika,jzd,(gu)intiicà',prn,EJG;JLC;ND;RLC;VC;VP,prn:ndf-i,(g)in+ tii +ka*
gintiisi,jzd,(gu)intiisì',prn,JLC;ND;RLC;VC;VP,prn:ndf-i,(g)in+ tii +si*
gintarra,jzd,(gu)intàrra,s,RGL,,(g)inta*rra
guba1,jzd,(g)ubà,s,EJG;JLC;RGL;RLC;VP,,(g)u-ba*
guba2,jzd,(g)ubà,s,EJG;JLC;RGL;RLC;VP,,(g)u-ba*
gubinya,jzd,(g)ubìña,s,VP,,(g)u-bi*nya
guragu7,jzd,(g)uragú',s,JLC;RGL;RLC;VP,,(g)u-ragu!7
guragu7yaana,jzd,(g)uragú' yaana',s,EJG;JLC;RGL,,(g)u-ragu!7 yaana
guryanisado7,jzd,(g)uriá nisa do',s,JLC;RLC,s:rel,(g)u-rya! nisa do7
guxaru,jzd,(g)uxhàrù,s,EJG;JLC;ND;RGL;VP,,(g)u-xa*ru*
guxarudxinya,jzd,(g)uxhàrù dxiña,s,JLC,,(g)u-xa*ru* dxinya
guxaruyaa,jzd,(g)uxhàrù yaa,s,JLC,,(g)u-xa*ru* yaa
guxaruyu,jzd,(g)uxhàrù yu,s,JLC,,(g)u-xa*ru* yu
