ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Attribution,PID,Sense_IDs,alt_translation1
4379,jzd,Abión ripapa lu bi.,,,The plane flies in the air.,,,,,9zzfn1,1314,El avión vuela en el aire.
8894,jzd,ách cuxhiáxí ba'du'nguiiu'.,,,ách sneezes the man.,,,,JLC;RLC,9AEyUt,2825,ách está estornudando el hombre.
8893,jzd,Ách ruxhiaxi Fán òra ruzeete' Fàna la.,,,Ách sneezes Juan when Juana mentions his name.,,,,RLC,flmJBZ,2825,Ách estornuda Juan cuando menciona Juana su nombre.
11416,jzd,Adiós corasón de fítu fíu' de zitu zeèdù' riguiñèni ruaa xtíhu'.,,,"Goodbye sweetheart, from afar your mouth is being pounded.",,,,,f3r5m1,5488,"Adiós corazón de fitufíu, que desde lejos está pegandole en tu parte (lit. en tu boca)."
12102,jzd,Aguxá mboolo'.,,,Thick needle.,,,,,QPrnDQ,6033,Aguja gruesa.
8924,jzd,Aguxá' para cú'bia' pànda quìlu.,,,Needle for measuring the number of kilos.,,,,,9DmKUJ,2872,Aguja para medir cuántos kilos.
8925,jzd,Aguxá' ridiiba'nè.,,,Sewing needle.,,,,,1Xo7Iz,2872,Aguja para costurar.
8920,jzd,Aguxá' stì'be.,,,His/her needle.,,,,,gmrnDr,2872,Su aguja.
8922,jzd,Aguxá' stínné'.,,,My needle.,,,,JLC;RGL,9UOosy,2872,Mi aguja.
8921,jzd,Aguxá' xtì'be.,,,His/her needle.,,,,JLC;RGL,nwiav1,2872,Su aguja.
8923,jzd,Aguxá' xtínné'.,,,My needle.,,,,JLC;RGL,fZRGOz,2872,Mi aguja.
8742,jzd,ahúˤ rieche Fán tí bi'ni' ganár.,,,Juan goes 'ahúˤ out of joy because he won.,,,,,3dBiMm,2753,ahúˤ está alegre Juan porque ganó.
9719,jzd,Àle raca chendxe ra guini' nezalu stalè bìnnì.,,,Ale stammers when speaking in front of many people.,,,,,0h6yD8,3913,Ale titubea al hablar ante mucha gente.
1638,jzd,Àle riba'qui' ti gamixá' naquichí'be.,,,Ale is putting on a very white shirt.,,,,,9A7n7J,573,Ale se pone una camisa blanquísima.
12622,jzd,"Alù bichagana' Juan, naya' guie' riza.",,,Juan has been very well groomed (clean) since he got married.,,,,,chmxhZ,6463,Desde que Juan se casó anda muy limpio.
13481,jzd,Alù lii gú'yu'.,,,You'll see.,,,,,21N6KQ,7227,Ahi verás.
8902,jzd,"Alù lii gú'yu', buyú' pà saacù'ni chicuyu.",,,"Well, little rooster, let's see if you don't end up like the tick-eater...(according to Jiménez Girón (1979:1), this refers to a story told by Naciu Carme (Mr. Ignacio Regalado) about a rooster that was pecking a bull to eat ticks off of it and annoyed the bull so much that it kicked the rooster on the beak and bent it).",,,,,cqcbHv,2848,"Alla tú, gallito, por si te toca la del garrapatero... (Jiménez Girón (1979:1) cuenta que esta expresión viene de la ""leyenda que contaba el Señor Ignacio Regalado (Naciu Carme) que: El garrapatero, por los intensos picotazos que asestaba a un toro arisco para atrapar las garrapatas que éste tenía en sus miembros posteriores, recibió del cuadrúpedo tremenda patada, precisamente en el pico, que lo dejó para siempre encorvado"")."
8900,jzd,"Alù nuùlu' ra rí', xhcuiidi'cà mà' qué ruuna'.",,,The child stopped crying since he arrived.,,,,,Krek+U,2846,Desde que está aquí ya no llora el niño.
13148,jzd,Alù pàbia'tí'.,,,What size exactly?,,,,,1gXGaw,6936,¿Precisamente de qué tamaño?
8903,jzd,Alù pàraatì' cheu'.,,,Tell me where specifically you're going.,,,,RGL;RLC,gBUdcx,2850,Dime a qué lugar específicamente vas.
8901,jzd,Alù sì.,,,Only once (a condition has been met).,,,,,ltfhfw,2846,Una vez que (haya ocurrido algo como condición).
884,jzd,"Amá, cayábi Àli naa diidxa' guìdxa.",,,"Mom, Ali is insulting me!",,,,,G9SviO,417,"Mamá, Ali me está diciendo groserías."
