ID,Description,Entry_ID,Attribution,Andative,Completive,Counterfactual,Etymology,Future,Habitual,Perfect,Potential,Progressive,Semantic_Domain,alt_translation1
1,Sound of a person making bubbles underwater.,b,,,,,,,,,,,sound symbolism,Sonido de una persona creando burbujas bajo el agua.
2,Sound used when calling a chicken.,bh,,,,,,,,,,,sound symbolism,Sonido que se usa para llamar a una gallina.
3,Sound of a horse or a deer snorting.,p,,,,,,,,,,,sound symbolism,Sonido de un caballo o un venado resoplando por la nariz.
4,Sound of a hasty or rushed movement.,rrunrrun,,,,,,,,,,,sound symbolism,Sonido de un movimiento apurado o atropellado.
5,Sound of a funeral bell.,dingdingding,,,,,,,,,,,sound symbolism,Sonido de una campana llamando a un entierro.
6,Small iguana with three series of spines along a wide tail. It is known in Spanish as gomaga or jama. It is not consumed but its eggs are and they are considered to be delicious.,gucha7chigiu,,,,,,,,,,,animals,"Iguana pequeña de cola ancha con tres series de espinas, conocida en castellano como gomaga o jama. No se come pero sus huevos sí y se consideran sabrosos."
7,Iguana after she has laid her eggs.,guchachi7orkidi,,,,,,,,,,,animals,Iguana después de poner sus huevos.
8,Sound that represents how a deaf person talks.,hbabababammm,,,,,,,,,,,sound symbolism,Sonido que representa como habla una persona sorda.
9,Fish known in Spanish as 'cuatrojo' which means 'four-eyes'.,bendalutapa7,,,,,,,,,,,animals,Pez conocido como cuatrojo.
10,"Bird known in Spanish and English as chachalaca. It is edible and is prepared in a broth which is considered good for body pains. By analogy with the fact that the chachalaca is noisy, this lexeme can be used to refer to someone who is a chatterbox.",berezhiga,,,,,,,,,,,animals,"Chachalaca. Es comestible y preparada en caldo se considera bueno para los dolores del cuerpo. Por analogía con el hecho de que la chachalaca hace mucho ruido, este lexema se puede usar para referirse a una persona parlanchina."
11,"The male of the species Quiscalus mexicanus. It is considered to be bigger and stronger than the female. Its feathers are jet black, hence its name. It is edible.",bigosebuubu,,,,,,,,,,,animals,"El macho de la especie Quiscalus mexicanus. Se considera más grande y fuerte que la hembra. Su plumaje es muy negro, de ahí su nombre. Es comestible."
12,"Very, greatly.",dunabe,,,,,,,,,,,measure and quantity,"Bastante, sumamente."
