record_id,surface_raw,category,analysis,source_id,source_location,dialect_scope,status,note
GP-PERS-C13-01,nahuiinibe,PERSON_DEPENDENT_SUBJECT,3SG_PERSON,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 13,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C13-02,nahuiinime,PERSON_DEPENDENT_SUBJECT,3SG_ANIMAL,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 13,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C13-03,nahuiinini,PERSON_DEPENDENT_SUBJECT,3SG_THING,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 13,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C13-04,nahuiinidu,PERSON_DEPENDENT_SUBJECT,1PL_EXCLUSIVE,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 13,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C13-05,nahuiininu,PERSON_DEPENDENT_SUBJECT,1PL_INCLUSIVE,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 13,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C13-06,nahuiinitu,PERSON_DEPENDENT_SUBJECT,2PL,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 13,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C13-07,nahuiinicabe,PERSON_DEPENDENT_SUBJECT,3PL_PERSON,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 13,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C13-08,nahuiinicame,PERSON_DEPENDENT_SUBJECT,3PL_ANIMAL,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 13,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C13-09,nahuiinicani,PERSON_DEPENDENT_SUBJECT,3PL_THING,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 13,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-C14-01,íquebe,POSSESSION_DEPENDENT_PRONOUN,3SG_PERSON,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 14,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
