record_id,headword_raw_2007,headword_unicode_compat,surface_2013_reconciled,primary_surface_2013_reconciled,variants_2013_reconciled_json,record_type,parent_headword_2013_reconciled,grammatical_label_raw,tone_annotation_raw,gloss_es,entry_line_raw_2007,continuation_raw_2007,printed_page,pdf_page_2007,column,source_section,source_id,source_edition_extracted,target_edition,reconciliation_status,dialect_scope,extraction_status
PICKETT-ZE-0001,"abati’, gabati’","abati’, gabati’","abatiꞌ, gabatiꞌ",abatiꞌ,"[""abatiꞌ"", ""gabatiꞌ""]",ENTRY,,,[al],ninguna parte,"abati’, gabati’ [al] ninguna parte",,3,17,1,ZAPOTECO_ESPAÑOL,BIB003_PICKETT_VOCABULARIO,2007_FIFTH_ELECTRONIC,2013_FIFTH_ELECTRONIC_SECOND_VERSION,DOCUMENTED_UNICODE_RECONCILIATION_NOT_BYTE_EXTRACTED_2013,JUCHITAN_HISTORICAL_SOURCE,STRUCTURED_BACKFILL_V0_1
PICKETT-ZE-0002,"adxagayá’, gadxagayá’","adxagayá’, gadxagayá’","adxagayáꞌ, gadxagayáꞌ",adxagayáꞌ,"[""adxagayáꞌ"", ""gadxagayáꞌ""]",ENTRY,,,,"payasada, tontería","adxagayá’, gadxagayá’ payasada, tontería",,3,17,1,ZAPOTECO_ESPAÑOL,BIB003_PICKETT_VOCABULARIO,2007_FIFTH_ELECTRONIC,2013_FIFTH_ELECTRONIC_SECOND_VERSION,DOCUMENTED_UNICODE_RECONCILIATION_NOT_BYTE_EXTRACTED_2013,JUCHITAN_HISTORICAL_SOURCE,STRUCTURED_BACKFILL_V0_1
PICKETT-ZE-0003,"adxé, gadxé","adxé, gadxé","adxé, gadxé",adxé,"[""adxé"", ""gadxé""]",ENTRY,,,,"diferente, distinto","adxé, gadxé diferente, distinto",,3,17,1,ZAPOTECO_ESPAÑOL,BIB003_PICKETT_VOCABULARIO,2007_FIFTH_ELECTRONIC,2013_FIFTH_ELECTRONIC_SECOND_VERSION,DOCUMENTED_UNICODE_RECONCILIATION_NOT_BYTE_EXTRACTED_2013,JUCHITAN_HISTORICAL_SOURCE,STRUCTURED_BACKFILL_V0_1
PICKETT-ZE-0004,aguxa’,aguxa’,aguxaꞌ,aguxaꞌ,"[""aguxaꞌ""]",ENTRY,,,[b.b.al],aguja,aguxa’ [b.b.al] aguja,,3,17,1,ZAPOTECO_ESPAÑOL,BIB003_PICKETT_VOCABULARIO,2007_FIFTH_ELECTRONIC,2013_FIFTH_ELECTRONIC_SECOND_VERSION,DOCUMENTED_UNICODE_RECONCILIATION_NOT_BYTE_EXTRACTED_2013,JUCHITAN_HISTORICAL_SOURCE,STRUCTURED_BACKFILL_V0_1
PICKETT-ZE-0005,amá,amá,amá,amá,"[""amá""]",ENTRY,,,[b.al],mamá,amá [b.al] mamá,,3,17,1,ZAPOTECO_ESPAÑOL,BIB003_PICKETT_VOCABULARIO,2007_FIFTH_ELECTRONIC,2013_FIFTH_ELECTRONIC_SECOND_VERSION,DOCUMENTED_UNICODE_RECONCILIATION_NOT_BYTE_EXTRACTED_2013,JUCHITAN_HISTORICAL_SOURCE,STRUCTURED_BACKFILL_V0_1
PICKETT-ZE-0006,amigu,amigu,amigu,amigu,"[""amigu""]",ENTRY,,,[b.a.b],amigo,amigu [b.a.b] amigo,,3,17,1,ZAPOTECO_ESPAÑOL,BIB003_PICKETT_VOCABULARIO,2007_FIFTH_ELECTRONIC,2013_FIFTH_ELECTRONIC_SECOND_VERSION,DOCUMENTED_UNICODE_RECONCILIATION_NOT_BYTE_EXTRACTED_2013,JUCHITAN_HISTORICAL_SOURCE,STRUCTURED_BACKFILL_V0_1
PICKETT-ZE-0007,aníu,aníu,aníu,aníu,"[""aníu""]",ENTRY,,,[b.al],anillo,aníu [b.al] anillo,,3,17,1,ZAPOTECO_ESPAÑOL,BIB003_PICKETT_VOCABULARIO,2007_FIFTH_ELECTRONIC,2013_FIFTH_ELECTRONIC_SECOND_VERSION,DOCUMENTED_UNICODE_RECONCILIATION_NOT_BYTE_EXTRACTED_2013,JUCHITAN_HISTORICAL_SOURCE,STRUCTURED_BACKFILL_V0_1
PICKETT-ZE-0008,apá,apá,apá,apá,"[""apá""]",ENTRY,,,[b.al],papá,apá [b.al] papá,,3,17,1,ZAPOTECO_ESPAÑOL,BIB003_PICKETT_VOCABULARIO,2007_FIFTH_ELECTRONIC,2013_FIFTH_ELECTRONIC_SECOND_VERSION,DOCUMENTED_UNICODE_RECONCILIATION_NOT_BYTE_EXTRACTED_2013,JUCHITAN_HISTORICAL_SOURCE,STRUCTURED_BACKFILL_V0_1
PICKETT-ZE-0009,"aronda’, garonda’","aronda’, garonda’","arondaꞌ, garondaꞌ",arondaꞌ,"[""arondaꞌ"", ""garondaꞌ""]",ENTRY,,,[b.b.al],"medio, mitad","aronda’, garonda’ [b.b.al] medio, mitad",,3,17,1,ZAPOTECO_ESPAÑOL,BIB003_PICKETT_VOCABULARIO,2007_FIFTH_ELECTRONIC,2013_FIFTH_ELECTRONIC_SECOND_VERSION,DOCUMENTED_UNICODE_RECONCILIATION_NOT_BYTE_EXTRACTED_2013,JUCHITAN_HISTORICAL_SOURCE,STRUCTURED_BACKFILL_V0_1
PICKETT-ZE-0010,asientu,asientu,asientu,asientu,"[""asientu""]",ENTRY,,,[b.a.b],"asiento, silla","asientu [b.a.b] asiento, silla",,3,17,1,ZAPOTECO_ESPAÑOL,BIB003_PICKETT_VOCABULARIO,2007_FIFTH_ELECTRONIC,2013_FIFTH_ELECTRONIC_SECOND_VERSION,DOCUMENTED_UNICODE_RECONCILIATION_NOT_BYTE_EXTRACTED_2013,JUCHITAN_HISTORICAL_SOURCE,STRUCTURED_BACKFILL_V0_1
